,processed,id
3483,'s baking chocolate,0
3151,'s chocolate chip,1
4941,'s hugs chocolate,2
6931,'s sauce,3
5290,'s sour cream,4
2220,'s spicy seasoning,5
9987,'s syrup,6
4592,'s teriyaki sauce,7
3161,10 bean soup mix,8
4530,10-minute success rice,9
4658,100 proof vodka,10
6164,15 bean mix,11
3314,15 bean soup mix,12
4064,3 bean mix,13
5416,7-up,14
9576,7-up soda,15
5670,a.1. sauce,16
11639,absinthe,17
5478,absolut citron vodka,18
4916,absolut kurant vodka,19
5899,absolut mandarin vodka,20
8384,absolut vodka,21
9604,accent seasoning,22
7084,aceto balsamico,23
7079,acid blend,24
2514,acini di pepe pastum,25
8197,acorn squash,26
7730,active starter,27
7936,adobo sauce,28
9185,adobo seasoning,29
3999,adolph's meat tenderizer,30
11604,advocaat,31
7987,adzuki bean,32
4233,after dinner mint,33
11174,agar,34
11444,agar-agar,35
9821,agar-agar flake,36
11541,agave,37
8212,agave nectar,38
7922,agave syrup,39
11512,aguardiente,40
11386,ahi,41
5684,ahi tuna steak,42
11456,aioli,43
6656,aji yellow paste,44
10958,ajinomoto,45
11355,ajvar,46
11656,ajwain,47
9467,albacore tuna,48
3268,albacore tuna in water,49
11111,alcohol,50
11590,ale,51
8759,aleppo pepper,52
11160,alfalfa,53
9370,alfalfa sprout,54
1113,alfredo,55
1568,alfredo sauce,56
3981,alfredo sauce mix,57
5069,all beef wiener,58
2170,all purpose flmy,59
2996,all purpose greek seasoning,60
2904,all-bran cereal,61
735,all-purpose baking flmy,62
3392,all-purpose flmy,63
3061,all-purpose seasoning,64
6596,all-purpose white flmy,65
8050,alligator meat,66
4776,alligator tail steak,67
11127,allspice,68
8170,allspice berry,69
11083,almond,70
8031,almond bark,71
6444,almond brickle chip,72
8081,almond butter,73
8666,almond cookie,74
7725,almond cookies,75
8036,almond essence,76
9178,almond extract,77
8075,almond filling,78
7978,almond flmy,79
8557,almond half,80
10733,almond halve,81
6691,almond liqueur,82
8038,almond meal,83
7927,almond milk,84
8083,almond oil,85
8032,almond paste,86
7531,almond powder,87
6739,almond syrup,88
6733,almond toffee bit,89
9444,almonding,90
8744,aloe juice,91
1560,alphabet pasta and vegetable soup,92
8205,alphabet pastum,93
2221,alpine lace swiss cheese,94
11581,alum,95
8881,aluminum foil,96
11492,amaranth,97
8687,amaranth flmy,98
7585,amaretti cookie,99
6813,amaretti cookie crumb,100
7940,amaretti cookies,101
11489,amarettini,102
11209,amaretto,103
3103,amaretto coffee creamer,104
3125,amaretto di saronno liqueur,105
8238,amaretto liqueur,106
11502,amarettus,107
6404,amarula cream liqueur,108
7955,amber beer,109
11195,amchur,110
7577,amchur powder,111
5158,american cheese,112
1532,american cheese single,113
2501,american cheese slice,114
8856,amish batter,115
8857,amish starter,116
11331,ammonium,117
8579,anaheim chili,118
9489,anaheim chily,119
8779,anasazi bean,120
9323,ancho chili,121
8653,ancho chily,122
3046,anchovies packed in oil,123
11525,anchovy,124
8782,anchovy fillet,125
8776,anchovy paste,126
348,and white chocolate swirled chocolate morsel,127
3052,andes mint baking chip,128
6306,andes mints candy,129
5426,angel flake coconut,130
3454,angel food cake,131
952,angel hair pastum,132
11017,angelica,133
7613,angelica leaf,134
10771,angostura bitter,135
2556,angostura worcestershire sauce,136
7216,angus steak,137
7615,animal cracker,138
10986,anise,139
8799,anise extract,140
10300,anise liqueur,141
8701,anise oil,142
8714,anise seed,143
9652,aniseing,144
11548,anisette,145
6981,anjou pear,146
1390,ground annatto seed,147
1391,achiote seed,147
1392,annatto oil,147
1395,achiote oil,147
1393,achiote paste,147
1394,annatto seed,147
1397,achiote,147
1396,achiote powder,147
1389,sazon con culantro y achiote,147
2525,any desired food coloring,148
8494,appenzeller cheese,149
11012,apple,150
8424,apple brandy,151
6807,apple butter,152
8438,apple chip,153
8298,apple cider,154
